AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index Flood
0.138166853,0.397172237,0.890985915,0.206558045,0.174809917,0.467213115,0.46,0.333813893,0.165380617
0.111947642,0.327249357,0.818873239,0.283136456,0.164099174,0.742622951,0.743428571,0.7109218,0.181858444
0.117520184,0.490745501,0.9,0.209164969,0.198842975,0.427868852,0.497714286,0.40406291,0.12603072
0.111419001,0.320051414,0.845915493,0.204928717,0.165421488,0.67704918,0.390285714,0.321930974,0.124642189
0.106235525,0.506169666,0.9,0.169735234,0.144595041,0.440983607,0.461142857,0.350589777,0.104653149
0.182748935,0.601799486,0.890985915,0.703177189,0.276561983,0.257377049,0.364,0.163608563,0.111832329
0.127620198,0.503084833,0.744507042,0.45910387,0.201719008,0.257377049,0.317142857,0.149279161,0.103871446
0.104865942,0.541131105,0.893239437,0.764765784,0.130016529,0.152459016,0.310285714,0.119921363,0.101432451
0.154040049,0.625449871,0.746760563,0.71197556,0.244727273,0.218032787,0.306857143,0.121319353,0.106336632
0.113086925,0.305655527,0.877464789,0.28802444,0.164561983,0.152459016,0.325142857,0.113979904,0.109510186
0.419562781,0.419794344,0.854929577,0.249898167,0.515008264,0.572131148,0.424571429,0.282088248,0.548278641
0.163517209,0.31285347,0.884225352,0.286395112,0.239338843,0.61147541,0.421142857,0.34150284,0.214211286
0.137432339,0.483547558,0.821126761,0.327780041,0.190545455,0.309836066,0.414285714,0.206946265,0.140119109
0.137345104,0.683033419,0.845915493,0.246313646,0.207371901,0.270491803,0.391428571,0.210441241,0.112157098
0.115897622,0.391002571,0.877464789,0.318655804,0.163404959,0.244262295,0.354857143,0.149628659,0.110822158
0.172921092,0.286118252,0.834647887,0.41185336,0.284958678,0.204918033,0.346857143,0.126911315,0.130041583
0.104522238,0.447557841,0.841408451,0.669613035,0.125024793,0.218032787,0.3,0.117125382,0.100702727
0.114348336,0.890745501,0.893239437,0.412830957,0.14892562,0.204918033,0.337714286,0.138095238,0.100710786
0.10877056,0.324164524,0.87971831,0.263584521,0.142942149,0.585245902,0.473714286,0.450196592,0.144443057
0.148188357,0.335475578,0.884225352,0.383828921,0.203834711,0.493442623,0.406285714,0.28034076,0.164462317
0.173643394,0.259383033,0.550704225,0.273034623,0.266181818,0.585245902,0.400571429,0.329969419,0.21557161
0.109368989,0.665552699,0.87971831,0.236863544,0.142082645,0.244262295,0.369714286,0.19750983,0.10635557
0.137973193,0.265552699,0.703943662,0.187331976,0.223041322,0.506557377,0.468,0.330318917,0.175353781
0.102643206,0.706683805,0.9,0.141384929,0.116,0.283606557,0.421142857,0.217081695,0.100847383
0.130532087,0.538046272,0.83915493,0.505376782,0.179636364,0.309836066,0.408571429,0.198208825,0.121508929
0.176673922,0.27377892,0.142816901,0.216659878,0.248859504,0.9,0.712571429,0.699038882,0.204666043
0.140752485,0.761182519,0.852676056,0.203299389,0.206413223,0.231147541,0.376571429,0.161861075,0.102742409
0.105216625,0.226478149,0.9,0.266843177,0.144264463,0.598360656,0.477142857,0.380297073,0.122459061
0.123790602,0.216195373,0.881971831,0.485824847,0.196595041,0.126229508,0.316,0.109086938,0.111743682
0.113742929,0.631619537,0.791830986,0.296496945,0.151471074,0.178688525,0.382285714,0.14648318,0.102503062
0.115068893,0.223393316,0.769295775,0.242729124,0.167305785,0.598360656,0.54,0.419440804,0.166812665
0.114667615,0.567866324,0.9,0.17885947,0.198479339,0.414754098,0.399428571,0.288379205,0.10996712
0.106136077,0.356041131,0.76028169,0.234256619,0.145256198,0.427868852,0.543428571,0.476408912,0.113417494
0.320785373,0.283033419,0.805352113,0.347983707,0.49814876,0.336065574,0.398285714,0.242245522,0.415751725
0.113708035,0.389974293,0.857183099,0.1899389,0.179801653,0.440983607,0.553714286,0.432022717,0.147887789
0.12462282,0.357069409,0.897746479,0.196456212,0.182876033,0.67704918,0.524,0.473263434,0.206976501
0.112671688,0.450642674,0.9,0.309205703,0.139933884,0.309836066,0.462285714,0.214285714,0.124563617
0.137842341,0.395115681,0.852676056,0.202973523,0.227834711,0.572131148,0.473714286,0.304805592,0.150769615
0.141104913,0.409511568,0.866197183,0.295193483,0.23722314,0.650819672,0.5,0.401616426,0.186071981
0.223190865,0.612082262,0.807605634,0.624317719,0.259900826,0.191803279,0.306857143,0.116775885,0.113298225
0.116382646,0.78688946,0.87971831,0.8299389,0.156363636,0.113114754,0.309142857,0.124115334,0.102023161
0.127876668,0.698457584,0.841408451,0.369816701,0.179438017,0.218032787,0.322857143,0.138444736,0.104898943
0.102512355,0.275835476,0.895492958,0.285743381,0.116264463,0.440983607,0.54,0.493184797,0.109807959
0.142825178,0.388946015,0.881971831,0.412179226,0.288330579,0.152459016,0.309142857,0.104543469,0.109219667
0.156311637,0.339588689,0.884225352,0.197759674,0.203834711,0.585245902,0.426857143,0.306203582,0.253012378
0.101947075,0.142159383,0.9,0.133238289,0.116727273,0.585245902,0.489714286,0.415945828,0.112265489
0.103601042,0.271722365,0.9,0.229368635,0.138082645,0.414754098,0.751428571,0.636828309,0.130030301
0.117179969,0.688174807,0.872957746,0.254786151,0.154016529,0.218032787,0.358285714,0.179335955,0.101677842
0.142704794,0.341645244,0.893239437,0.228716904,0.222975207,0.663934426,0.556,0.473263434,0.241157082
0.125510867,0.461953728,0.787323944,0.14790224,0.214082645,0.480327869,0.530857143,0.385190039,0.136669541
0.136703058,0.256298201,0.868450704,0.322240326,0.222975207,0.585245902,0.407428571,0.331716907,0.160312842
0.106429185,0.359125964,0.848169014,0.190916497,0.147834711,0.283606557,0.383428571,0.217431193,0.110241522
0.118434402,0.780719794,0.827887324,0.187331976,0.210975207,0.244262295,0.388,0.19156837,0.102794791
0.122204678,0.506169666,0.543943662,0.239144603,0.189950413,0.270491803,0.425714286,0.249584972,0.114916027
0.111535895,0.440359897,0.848169014,0.187983707,0.161322314,0.375409836,0.445142857,0.173743993,0.113777319
0.10304623,0.38277635,0.823380282,0.233930754,0.121619835,0.257377049,0.407428571,0.203451289,0.1106497
0.108001151,0.275835476,0.9,0.25185336,0.140165289,0.427868852,0.741142857,0.599082569,0.155542035
0.153113619,0.633676093,0.886478873,0.671894094,0.208628099,0.126229508,0.308,0.1,0.106318903
0.112134324,0.315938303,0.897746479,0.235234216,0.132727273,0.467213115,0.440571429,0.321231979,0.151187867
0.119606834,0.80848329,0.843661972,0.285417515,0.175834711,0.270491803,0.383428571,0.227916121,0.103627265
0.358566649,0.515424165,0.886478873,0.29389002,0.479900826,0.270491803,0.368571429,0.190519878,0.232143318
0.121253822,0.298457584,0.715211268,0.211771894,0.185355372,0.808196721,0.526285714,0.655002184,0.189617852
0.109820864,0.828020566,0.845915493,0.218615071,0.148628099,0.257377049,0.441714286,0.218829183,0.101394978
0.135014197,0.293316195,0.692676056,0.214052953,0.234677686,0.637704918,0.441714286,0.382044561,0.16506995
0.23686575,0.346786632,0.181126761,0.271405295,0.30753719,0.742622951,0.559428571,0.611664482,0.199765485
0.141425936,0.477377892,0.897746479,0.202647658,0.196231405,0.375409836,0.392571429,0.202752294,0.148727113
0.261104738,0.398200514,0.875211268,0.343095723,0.348694215,0.624590164,0.455428571,0.376452599,0.355434031
0.133588785,0.256298201,0.897746479,0.213727088,0.186347107,0.742622951,0.641714286,0.516601136,0.330987686
0.105712117,0.261439589,0.9,0.161588595,0.13368595,0.755737705,0.484,0.440061162,0.130319612
0.236105065,0.344730077,0.83915493,0.249572301,0.423371901,0.545901639,0.431428571,0.276845784,0.357685272
0.121827825,0.746786632,0.652112676,0.295519348,0.207768595,0.231147541,0.38,0.195762342,0.102714203
0.114965957,0.411568123,0.852676056,0.365254582,0.151801653,0.336065574,0.431428571,0.216033202,0.120965766
0.133518998,0.203856041,0.798591549,0.333971487,0.184760331,0.716393443,0.364,0.28768021,0.184531139
0.173116497,0.407455013,0.852676056,0.162892057,0.277884298,0.440983607,0.508,0.380297073,0.216678486
0.127089812,0.592544987,0.83915493,0.346680244,0.182975207,0.270491803,0.437142857,0.22651813,0.122534008
0.290410308,0.361182519,0.832394366,0.302688391,0.406942149,0.598360656,0.413142857,0.311795544,0.321445265
0.215046649,0.250128535,0.850422535,0.205254582,0.328264463,0.427868852,0.393714286,0.230712101,0.24939559
0.124739714,0.495886889,0.773802817,0.754989817,0.164859504,0.218032787,0.306857143,0.122717344,0.106399491
